iter	MultiClass
0	1.433722856
1	1.318822125
2	1.225354462
3	1.154085925
4	1.097649471
5	1.051038155
6	1.007822549
7	0.9705282531
8	0.9403601523
9	0.9141802003
10	0.8934093822
11	0.8742278039
12	0.8564375726
13	0.8390969772
14	0.8234038617
15	0.8112774497
16	0.799837696
17	0.787384038
18	0.7762373176
19	0.7657274051
20	0.7585498588
21	0.7522507611
22	0.7454201776
23	0.7406206757
24	0.7354855156
25	0.7297759496
26	0.7243012625
27	0.720425233
28	0.7155885765
29	0.710705295
30	0.7079510785
31	0.7051106291
32	0.7011949875
33	0.6983264865
34	0.6952003993
35	0.6927651043
36	0.6908020474
37	0.6886495477
38	0.6857817577
39	0.6838877376
40	0.6825074685
41	0.6802407252
42	0.6784032485
43	0.676883041
44	0.676192113
45	0.6758760157
46	0.67534592
47	0.6738703655
48	0.6730384464
49	0.6720447124
50	0.6714674764
51	0.6692550498
52	0.6677708668
53	0.6663956301
54	0.6650676781
55	0.6641335976
56	0.6625740273
57	0.661468266
58	0.6609906796
59	0.6597476581
60	0.6589068395
61	0.6583497092
62	0.6574982774
63	0.6571523996
64	0.6568635661
65	0.6560236023
66	0.6548685376
67	0.6539218275
68	0.6534805049
69	0.6531418178
70	0.6526330256
71	0.6524334096
72	0.6516340121
73	0.6515070004
74	0.6507965542
75	0.6500521517
76	0.6496245491
77	0.649014266
78	0.6487682701
79	0.6485345533
80	0.6485106409
81	0.6484222998
82	0.6477695846
83	0.6473189572
84	0.6470838047
85	0.6466844838
86	0.6466105058
87	0.6452197758
88	0.64481887
89	0.6442747771
90	0.6436235185
91	0.6426372984
92	0.6410500009
93	0.6395256014
94	0.6386459476
95	0.6385318888
96	0.638079711
97	0.6376107913
98	0.6371855093
99	0.6370141623
100	0.6366606541
101	0.6362972536
102	0.6355092182
103	0.6351111915
104	0.6349513717
105	0.6349226958
106	0.6346291044
107	0.634072208
108	0.6338386349
109	0.6335967665
110	0.6333369752
111	0.6329981695
112	0.6327294882
113	0.632483283
114	0.6315960402
115	0.6310246308
116	0.6308323346
117	0.6302448404
118	0.6297916314
119	0.6293960255
120	0.6292279052
121	0.6287500354
122	0.6284308321
123	0.6279297546
124	0.627756627
125	0.6270724381
126	0.6269588527
127	0.626926373
128	0.625760591
129	0.6255249789
130	0.6253588089
131	0.6251849378
132	0.6249912354
133	0.6245568071
134	0.6242047072
135	0.6235902721
136	0.6231638143
137	0.6224473277
138	0.6220597501
139	0.6215202528
140	0.6209736603
141	0.6207044415
142	0.6199621185
143	0.619741868
144	0.6196312235
145	0.6190453769
146	0.6187323998
147	0.6183769489
148	0.6182823409
149	0.6181920459
150	0.6181306759
151	0.6177715718
152	0.6171104628
153	0.6164223521
154	0.6162310847
155	0.6156844658
156	0.6155412728
157	0.6151892392
158	0.6151067222
159	0.6149898852
160	0.6143221174
161	0.614168591
162	0.6141184066
163	0.6140368111
164	0.6134883665
165	0.6130695537
166	0.6128398229
167	0.6125309395
168	0.6123459536
169	0.6118151058
170	0.6114607387
171	0.6113683238
172	0.6111569782
173	0.6110602959
174	0.6106588635
175	0.6102515072
176	0.6095828162
177	0.609513094
178	0.608922249
179	0.6084224295
180	0.6082396595
181	0.6082067965
182	0.6078375997
183	0.6077335742
184	0.6072705269
185	0.6069343744
186	0.6065701236
187	0.6061786612
188	0.6059985115
189	0.6058610706
190	0.6056164672
191	0.6054841515
192	0.6053757422
193	0.6052315783
194	0.604914588
195	0.6044804095
196	0.6043312256
197	0.6041333684
198	0.6041130701
199	0.6038751344
200	0.6038247393
201	0.6032678868
202	0.6031505569
203	0.6029663982
204	0.6026052527
205	0.6025302107
206	0.6021568382
207	0.6021150117
208	0.6017710651
209	0.6015928371
210	0.6013162419
211	0.6012122155
212	0.601118787
213	0.6010776736
214	0.6009240272
215	0.6008370426
216	0.6008018816
217	0.6005887316
218	0.6005272102
219	0.6003976879
220	0.6002773383
221	0.600085397
222	0.5999892043
223	0.5999426451
224	0.5996242467
225	0.5993081199
226	0.5990482889
227	0.598805863
228	0.5985430659
229	0.5981041495
230	0.5978935493
231	0.5976117329
232	0.5971380466
233	0.5969342313
234	0.5966416714
235	0.5966158195
236	0.5966062302
237	0.5963595769
238	0.5961912137
239	0.5961136517
240	0.5960754944
241	0.5959768146
242	0.5955894936
243	0.5954095355
244	0.5953917231
245	0.5953501049
246	0.5951511614
247	0.5950337865
248	0.5948069271
249	0.5947193582
250	0.5946725027
251	0.5939811961
252	0.5938512118
253	0.5937929979
254	0.5936956121
255	0.5934679635
256	0.5933372495
257	0.5931387782
258	0.5928662226
259	0.5927957344
260	0.5925263631
261	0.5924506426
262	0.5923549035
263	0.5921030435
264	0.5919500697
265	0.5916626625
266	0.5915112439
267	0.5912183945
268	0.5908052157
269	0.5906354563
270	0.5904724946
271	0.5902892641
272	0.5901453363
273	0.5900483601
274	0.5898744453
275	0.5897660213
276	0.589667125
277	0.5896385792
278	0.5893506715
279	0.5893244427
280	0.5892142179
281	0.589181355
282	0.5890862517
283	0.5890536813
284	0.5889643498
285	0.5888003216
286	0.5887610006
287	0.5887244213
288	0.5887065582
289	0.5884618767
290	0.5880963061
291	0.5880643052
292	0.58795743
293	0.5879465552
294	0.5877571155
295	0.58765568
296	0.5876353301
297	0.587570878
298	0.5871845084
299	0.5870292967
300	0.5869898396
301	0.5868573441
302	0.5864992659
303	0.5864598503
304	0.5863769482
305	0.5862782563
306	0.5861873854
307	0.5861051039
308	0.5859726708
309	0.5856881885
310	0.5854032344
311	0.5852975082
312	0.585186487
313	0.5851313485
314	0.584748664
315	0.5844612991
316	0.5843952744
317	0.5842453028
318	0.5842101326
319	0.584113955
320	0.5839380707
321	0.5836958164
