iter	Passed	Remaining
0	81	81842
1	110	54922
2	138	46175
3	169	42084
4	207	41236
5	237	39422
6	268	38068
7	300	37253
8	331	36474
9	359	35598
10	374	33638
11	404	33329
12	435	33040
13	466	32843
14	502	33013
15	593	36501
16	637	36854
17	665	36321
18	696	35954
19	729	35749
20	757	35313
21	786	34971
22	820	34842
23	847	34473
24	876	34190
25	907	34010
26	939	33853
27	969	33669
28	1001	33539
29	1029	33271
30	1055	33006
31	1084	32818
32	1113	32619
33	1143	32500
34	1175	32417
35	1205	32284
36	1233	32109
37	1259	31890
38	1287	31727
39	1319	31660
40	1352	31638
41	1383	31554
42	1413	31467
43	1441	31309
44	1466	31129
45	1491	30937
46	1516	30753
47	1551	30779
48	1589	30847
49	1628	30935
50	1666	31017
51	1710	31184
52	1753	31323
53	1791	31379
54	1825	31359
55	1863	31415
56	1902	31482
57	1940	31519
58	1967	31381
59	1996	31286
60	2023	31155
61	2057	31134
62	2100	31244
63	2137	31255
64	2183	31407
65	2222	31446
66	2260	31477
67	2297	31494
68	2337	31540
69	2373	31530
70	2405	31474
71	2437	31418
72	2470	31372
73	2500	31286
74	2534	31263
75	2567	31220
76	2599	31163
77	2643	31249
78	2678	31221
79	2712	31191
80	2746	31159
81	2787	31209
82	2822	31178
83	2858	31174
84	2893	31150
85	2928	31127
86	2957	31040
87	2993	31025
88	3022	30939
89	3052	30864
90	3084	30811
91	3120	30794
92	3155	30771
93	3197	30821
94	3236	30831
95	3266	30761
96	3300	30729
97	3330	30654
98	3371	30680
99	3410	30693
100	3439	30614
101	3495	30775
102	3544	30865
103	3591	30942
104	3632	30960
105	3675	31001
106	3709	30957
107	3749	30964
108	3779	30895
109	3808	30816
110	3835	30716
111	3862	30626
112	3891	30542
113	3915	30434
114	3946	30373
115	3982	30352
116	4012	30278
117	4044	30229
118	4071	30143
119	4100	30070
120	4126	29979
121	4154	29898
122	4180	29804
123	4206	29719
124	4233	29635
125	4264	29583
126	4292	29509
127	4317	29413
128	4353	29391
129	4380	29315
130	4408	29246
131	4437	29178
132	4465	29110
133	4495	29050
134	4527	29008
135	4559	28969
136	4588	28905
137	4621	28865
138	4649	28799
139	4681	28755
140	4710	28694
141	4741	28651
142	4773	28610
143	4801	28544
144	4830	28480
145	4860	28431
146	4889	28370
147	4919	28320
148	4948	28265
149	4975	28196
150	5003	28130
151	5031	28069
152	5063	28030
153	5093	27979
154	5123	27933
155	5154	27885
156	5180	27814
157	5213	27781
158	5240	27718
159	5266	27651
160	5295	27595
161	5323	27536
162	5350	27476
163	5383	27440
164	5424	27451
165	5459	27427
166	5491	27390
167	5518	27330
168	5545	27268
169	5573	27209
170	5599	27147
171	5627	27090
172	5654	27031
173	5680	26965
174	5710	26918
175	5738	26868
176	5767	26818
177	5793	26752
178	5821	26702
179	5851	26656
180	5876	26591
181	5902	26527
182	5928	26469
183	5952	26398
184	5983	26360
185	6017	26335
186	6053	26318
187	6090	26307
188	6134	26325
189	6166	26289
190	6204	26280
191	6233	26234
192	6264	26195
193	6301	26182
194	6341	26178
195	6376	26157
196	6410	26128
197	6447	26115
198	6479	26081
199	6516	26067
200	6548	26030
201	6583	26009
202	6619	25989
203	6654	25966
204	6690	25947
205	6726	25924
206	6757	25889
207	6785	25837
208	6817	25803
209	6850	25770
210	6884	25742
211	6917	25711
212	6945	25662
213	6973	25614
214	7008	25588
215	7040	25554
216	7074	25527
217	7113	25516
218	7141	25468
219	7176	25443
220	7257	25582
221	7323	25665
222	7362	25653
223	7392	25609
224	7427	25583
